epoch,train_ppl,valid_ppl
1,358.6176,151.8568
2,104.0190,81.3377
3,73.8308,68.0532
4,62.9729,61.0381
5,56.6335,57.3966
6,52.3873,54.6478
7,49.3974,54.0248
8,47.0653,52.9654
9,44.6851,52.2733
10,43.2308,51.5960
11,41.8078,50.3415
12,40.3370,50.6785
13,35.1308,48.1041
14,33.3891,47.9404
15,32.4513,47.5683
16,31.8246,47.5568
17,31.2276,47.4940
18,30.7617,47.7156
19,29.6057,47.3312
20,29.1854,47.4265
21,28.7807,47.2806
22,28.6926,47.2825
23,28.6708,47.2620
24,28.6276,47.2402
25,28.5893,47.2540
26,28.6121,47.2516
27,28.6763,47.2514
28,28.4813,47.2513
29,28.6609,47.2512
30,28.5934,47.2512
31,28.5328,47.2512
32,28.5167,47.2512
33,28.5408,47.2512
34,28.6646,47.2512
35,28.5130,47.2512
36,28.5703,47.2512
37,28.5923,47.2512
38,28.6051,47.2512
39,28.7371,47.2512
40,28.5030,47.2512
test,,44.5721
