epoch,train_ppl,valid_ppl
1,353.3375,146.0436
2,90.1919,75.4451
3,58.7729,63.0860
4,46.9627,58.1050
5,39.9611,55.2906
6,34.5104,55.1096
7,30.0023,56.0022
8,21.8417,50.2942
9,19.3817,51.8101
10,17.1867,50.8706
11,16.4263,50.5801
12,16.1833,50.5206
13,16.1150,50.5136
14,16.0977,50.5123
15,16.0934,50.5120
16,16.0923,50.5119
17,16.0921,50.5119
18,16.0920,50.5119
19,16.0920,50.5119
20,16.0920,50.5119
21,16.0920,50.5119
22,16.0920,50.5119
23,16.0920,50.5119
24,16.0920,50.5119
25,16.0920,50.5119
26,16.0920,50.5119
27,16.0920,50.5119
28,16.0920,50.5119
29,16.0920,50.5119
30,16.0920,50.5119
31,16.0920,50.5119
32,16.0920,50.5119
33,16.0920,50.5119
34,16.0920,50.5119
35,16.0920,50.5119
36,16.0920,50.5119
37,16.0920,50.5119
38,16.0920,50.5119
39,16.0920,50.5119
40,16.0920,50.5119
test,,47.9860
