epoch,train_ppl,valid_ppl
1,375.5144,166.1525
2,114.4443,92.1667
3,80.5960,77.8525
4,69.5872,69.7256
5,63.7207,64.2281
6,60.0055,61.1553
7,57.5983,60.4900
8,55.4279,57.9525
9,53.5410,56.5324
10,52.1368,56.8628
11,46.2412,53.3047
12,44.3208,52.9412
13,43.4012,53.0670
14,41.8637,52.1819
15,41.4503,52.1411
16,41.0674,51.9815
17,40.9285,51.9308
18,40.5054,51.7756
19,40.3619,51.7277
20,40.2840,51.6591
21,39.9359,51.6709
22,39.6247,51.4987
23,39.5251,51.5034
24,39.5038,51.4801
25,39.3583,51.4707
26,39.3556,51.4652
27,39.3519,51.4756
28,39.4215,51.4766
29,39.4059,51.4773
30,39.3428,51.4772
31,39.4021,51.4771
32,39.3457,51.4770
33,39.3007,51.4771
34,39.3350,51.4771
35,39.2226,51.4771
36,39.3094,51.4771
37,39.3855,51.4771
38,39.3626,51.4771
39,39.3682,51.4771
40,39.2978,51.4771
test,,48.2970
